Name,r,claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
AT2018iaj,5,Candidate,,AT2018iaj;ZTF18acbwgeg,0,0,0,0,0,0
AT2018ial,4,Candidate,,AT2018ial;ZTF18acbxvom,0,0,0,0,0,0
AT2018iam,3,Candidate,,AT2018iam;ZTF18acbxzmb,0,0,0,0,0,0
AT2018ian,4,Candidate,,AT2018ian;ZTF18accdtch,0,0,0,0,0,0
AT2018iao,2,Candidate,0.091403,AT2018iao;ZTF18acbvkwl,0,0,0,0,0,0
AT2018iap,1,Candidate,,AT2018iap;ZTF18acbvugp;PS18cip,0,0,0,0,0,0
AT2018iaq,3,Candidate,,AT2018iaq;ZTF18acbwapi,0,0,0,0,0,0
AT2018iar,2,Candidate,,AT2018iar;ZTF18acbwatp,0,0,0,0,0,0
AT2018ias,4,Candidate,,AT2018ias;ZTF18acbwgcd,0,0,0,0,0,0
AT2018iat,3,Candidate,,AT2018iat;ZTF18acbznbe,0,0,0,0,0,0
AT2018iav,3,Candidate,,AT2018iav;ZTF18acbznnc;ATLAS18ywm;PS18cdd,0,0,0,0,0,0
AT2018iax,2,Candidate,,AT2018iax;ZTF18acbzpbs,0,0,0,0,0,0
AT2018iaz,1,Candidate,,AT2018iaz;ZTF18accicnc,0,0,0,0,0,0
AT2018iba,5,Candidate,,AT2018iba;ZTF18acdwoag,0,0,0,0,0,0
AT2018ibc,1,Candidate,,AT2018ibc;ZTF18abslxpd,0,0,0,0,0,0
AT2018ibd,1,Candidate,,AT2018ibd;ZTF18acbxqyz,0,0,0,0,0,0
AT2018ibe,2,Candidate,,AT2018ibe;ZTF18acasuxc,0,0,0,0,0,0
AT2018ibf,1,Candidate,,AT2018ibf;ZTF18acbwpis,0,0,0,0,0,0
AT2018ibg,3,Candidate,,AT2018ibg;ZTF18accvmgs,0,0,0,0,0,0
AT2018ibh,2,Candidate,,AT2018ibh;ZTF18acbwxfk,0,0,0,0,0,0
AT2018ibi,1,Candidate,,AT2018ibi;ZTF18abdhxda,0,0,0,0,0,0
AT2018ibk,2,Candidate,,AT2018ibk;ZTF18abuifwq,0,0,0,0,0,0
AT2018ibl,3,Candidate,,AT2018ibl;ZTF18acbxsec,0,0,0,0,0,0
AT2018ibm,1,Candidate,,AT2018ibm;ZTF18acbxpki,0,0,0,0,0,0
AT2018ibn,2,Candidate,,AT2018ibn;ZTF18acbwfvt,0,0,0,0,0,0
AT2018ibo,3,Candidate,,AT2018ibo;ZTF18acbxiuo,0,0,0,0,0,0
AT2018ibp,1,Candidate,,AT2018ibp;ZTF18acauwik,0,0,0,0,0,0
AT2018ibq,5,Candidate,,AT2018ibq;ZTF18acbvmjq,0,0,0,0,0,0
AT2018ibr,3,Candidate,,AT2018ibr;ZTF18acbwgin,0,0,0,0,0,0
AT2018ibs,3,Candidate,,AT2018ibs;ZTF18acaoqag,0,0,0,0,0,0
AT2018ibt,1,Candidate,0.104691,AT2018ibt;ZTF18acbxsjs,0,0,0,0,0,0
AT2018ibu,2,Candidate,,AT2018ibu;ZTF18acbyarn;ATLAS18yey,0,0,0,0,0,0
AT2018ibv,2,Candidate,,AT2018ibv;ZTF18acbzvuu,0,0,0,0,0,0
AT2018ibw,2,Candidate,,AT2018ibw;ZTF18acbzvrn,0,0,0,0,0,0
AT2018ibx,1,Candidate,,AT2018ibx;ZTF18accqjow,0,0,0,0,0,0
AT2018ibz,2,Candidate,,AT2018ibz;ZTF18acbzppd,0,0,0,0,0,0
AT2018ica,2,Candidate,,AT2018ica;ZTF18acbzpmu,0,0,0,0,0,0
AT2018icb,1,Candidate,,AT2018icb;ZTF18acejdzk;ATLAS18yse,0,0,0,0,0,0
AT2018ici,2,Candidate,,AT2018ici;ZTF18aawzxky,0,0,0,0,0,0
AT2018idi,2,Candidate,,AT2018idi;ZTF18accdtag,0,0,0,0,0,0
AT2018idk,1,Candidate,0.033784,AT2018idk;ZTF18acbzqoc,0,0,0,0,0,0
AT2018idl,5,Candidate,0.09901,AT2018idl;ZTF18acbwdwg;ATLAS18ynp;ATLAS18ynu,0,0,0,0,0,0
AT2018idm,1,Candidate,,AT2018idm;ZTF18abmiqbv,0,0,0,0,0,0
AT2018idx,1,Candidate,0.027219,AT2018idx;ZTF18accsane,0,0,0,0,0,0
AT2018idz,2,Candidate,,AT2018idz;ZTF18aacfonx,0,0,0,0,0,0
AT2018iea,2,Candidate,,AT2018iea;ZTF18aampiwv,0,0,0,0,0,0
AT2018iec,3,Candidate,,AT2018iec;ZTF18acanqyr,0,0,0,0,0,0
AT2018ied,1,Candidate,,AT2018ied;ZTF18aawwmwt,0,0,0,0,0,0
AT2018iee,2,Candidate,0.039874,AT2018iee;ZTF18aabkjfv,0,0,0,0,0,0
AT2018ief,4,Candidate,0.022189,AT2018ief;ZTF18aabilqu,0,0,0,0,0,0
AT2018ieg,2,Candidate,0.098113,AT2018ieg;ZTF18aacinqt,0,0,0,0,0,0
AT2018ieh,3,Candidate,,AT2018ieh;ZTF18abuyhea;ATLAS18zjn,0,0,0,0,0,0
AT2018iei,2,Candidate,0.039317,AT2018iei;ZTF18abtrowl,0,0,0,0,0,0
AT2018iej,1,Candidate,,AT2018iej;ZTF18aapzqup,0,0,0,0,0,0
AT2018iek,2,Candidate,,AT2018iek;ZTF18acapahf,0,0,0,0,0,0
AT2018iel,2,Candidate,,AT2018iel;ZTF18acbvgdk,0,0,0,0,0,0
AT2018iem,1,Candidate,0.045906,AT2018iem;ZTF18aakaajs,0,0,0,0,0,0
